TravellerID,Age,Gender,LocationType,HouseholdIncome_USD,MaritalStatus,EmploymentStatus,TravelFrequency_Last12Months,PrimaryTravelPurpose,AvgTripDuration_Days,PreferredAccommodation,PreferredTransportation,AvgSpendPerTrip_USD,LoyaltyProgramMember,BookedVia,LastBookingDate,SoloTraveler,InternationalTravel_Last2Years,ReviewsLeft_Last12Months,SpecialRequestsMade_Last12Months,OverallTravelSatisfaction
T063,39,Male,Urban,92000,Married,Employed,5,Leisure,7,Hotel,Flight,1350,Hotel,Online Travel Agent,2025-05-09,No,Yes,2,No,4
T064,50,Female,Rural,97000,Married,Employed,3,Business,3,Hotel,Flight,820,Airline,Direct Website,2025-06-04,No,No,1,No,4
T065,30,Other,Urban,67000,Single,Employed,2,Leisure,5,Hostel,Bus,500,None,Mobile App,2025-04-29,Yes,No,1,Yes,4
T066,71,Male,Suburban,73000,Widowed,Retired,1,Medical,6,Friend/Family,Personal Car,260,None,Travel Agent,2025-02-28,No,No,0,No,3
T067,42,Female,Urban,115000,Married,Employed,7,Leisure,9,Resort,Flight,2900,Both,Direct Website,2025-06-23,No,Yes,4,No,5
T068,31,Male,Suburban,79000,Married,Employed,3,Business,4,Hotel,Flight,910,Airline,Online Travel Agent,2025-05-17,No,No,1,No,4
T069,26,Female,Urban,51000,Single,Student,1,Education,3,Hostel,Train,340,None,Mobile App,2025-03-14,Yes,No,0,Yes,3
T070,59,Male,Rural,64000,Married,Homemaker,2,Family Visit,7,Friend/Family,Personal Car,370,None,Travel Agent,2025-04-12,No,No,0,No,4
T071,35,Other,Urban,86000,Single,Employed,3,Leisure,6,Hotel,Flight,1180,Hotel,Online Travel Agent,2025-05-23,Yes,Yes,2,No,4
T072,47,Male,Suburban,100000,Married,Employed,5,Business,4,Hotel,Flight,1100,Airline,Direct Website,2025-06-10,No,Yes,2,No,5
T073,29,Female,Urban,56000,Single,Employed,2,Leisure,5,Airbnb/Rental,Train,750,None,Mobile App,2025-04-21,Yes,No,1,Yes,4
T074,67,Male,Suburban,70000,Widowed,Retired,1,Family Visit,9,Friend/Family,Personal Car,340,None,Travel Agent,2025-03-27,No,No,0,No,3
T075,40,Female,Urban,109000,Married,Employed,6,Leisure,8,Resort,Flight,2400,Both,Direct Website,2025-06-05,No,Yes,3,No,5
T076,30,Male,Suburban,76000,Married,Employed,3,Business,3,Hotel,Flight,780,Airline,Online Travel Agent,2025-05-15,No,No,1,No,4
T077,24,Other,Urban,48000,Single,Student,1,Education,4,Hostel,Bus,410,None,Mobile App,2025-03-04,Yes,No,0,Yes,3
T078,80,Female,Rural,63000,Widowed,Retired,1,Medical,5,Friend/Family,Personal Car,230,None,Travel Agent,2025-02-18,No,No,0,No,3
T079,45,Male,Urban,113000,Married,Employed,8,Leisure,10,Resort,Flight,3200,Both,Direct Website,2025-06-20,No,Yes,5,No,5
T080,33,Female,Suburban,82000,Married,Employed,4,Business,4,Hotel,Flight,950,Airline,Online Travel Agent,2025-05-19,No,No,1,No,4
T081,27,Male,Urban,55000,Single,Employed,2,Leisure,6,Airbnb/Rental,Train,680,None,Mobile App,2025-04-26,Yes,No,1,Yes,4
T082,64,Female,Suburban,71000,Widowed,Retired,1,Family Visit,8,Friend/Family,Personal Car,350,None,Travel Agent,2025-03-22,No,No,0,No,3
T083,39,Male,Urban,93000,Married,Employed,5,Leisure,7,Hotel,Flight,1400,Hotel,Online Travel Agent,2025-05-10,No,Yes,2,No,4
T084,51,Female,Rural,98000,Married,Employed,3,Business,3,Hotel,Flight,850,Airline,Direct Website,2025-06-06,No,No,1,No,4
T085,30,Other,Urban,68000,Single,Employed,2,Leisure,5,Hostel,Bus,520,None,Mobile App,2025-04-30,Yes,No,1,Yes,4
T086,72,Male,Suburban,74000,Widowed,Retired,1,Medical,6,Friend/Family,Personal Car,270,None,Travel Agent,2025-02-27,No,No,0,No,3
T087,43,Female,Urban,116000,Married,Employed,7,Leisure,9,Resort,Flight,3000,Both,Direct Website,2025-06-23,No,Yes,4,No,5
T088,31,Male,Suburban,80000,Married,Employed,3,Business,4,Hotel,Flight,920,Airline,Online Travel Agent,2025-05-18,No,No,1,No,4
T089,26,Female,Urban,52000,Single,Student,1,Education,3,Hostel,Train,360,None,Mobile App,2025-03-16,Yes,No,0,Yes,3
T090,58,Male,Rural,65000,Married,Homemaker,2,Family Visit,7,Friend/Family,Personal Car,380,None,Travel Agent,2025-04-14,No,No,0,No,4
T091,35,Other,Urban,87000,Single,Employed,3,Leisure,6,Hotel,Flight,1220,Hotel,Online Travel Agent,2025-05-24,Yes,Yes,2,No,4
T092,48,Male,Suburban,101000,Married,Employed,5,Business,4,Hotel,Flight,1120,Airline,Direct Website,2025-06-11,No,Yes,2,No,5
T093,29,Female,Urban,57000,Single,Employed,2,Leisure,5,Airbnb/Rental,Train,780,None,Mobile App,2025-04-20,Yes,No,1,Yes,4
T094,65,Male,Suburban,72000,Widowed,Retired,1,Family Visit,9,Friend/Family,Personal Car,360,None,Travel Agent,2025-03-28,No,No,0,No,3
T095,40,Female,Urban,110000,Married,Employed,6,Leisure,8,Resort,Flight,2500,Both,Direct Website,2025-06-07,No,Yes,3,No,5
T096,30,Male,Suburban,77000,Married,Employed,3,Business,3,Hotel,Flight,800,Airline,Online Travel Agent,2025-05-16,No,No,1,No,4
T097,24,Other,Urban,49000,Single,Student,1,Education,4,Hostel,Bus,430,None,Mobile App,2025-03-05,Yes,No,0,Yes,3
T098,81,Female,Rural,64000,Widowed,Retired,1,Medical,5,Friend/Family,Personal Car,250,None,Travel Agent,2025-02-19,No,No,0,No,3
T099,45,Male,Urban,114000,Married,Employed,8,Leisure,10,Resort,Flight,3300,Both,Direct Website,2025-06-22,No,Yes,5,No,5
T100,33,Female,Suburban,83000,Married,Employed,4,Business,4,Hotel,Flight,980,Airline,Online Travel Agent,2025-05-20,No,No,1,No,4
