CompanyID,Industry,CompanySize_Employees,Location_Type,AnnualRevenue_USD,HR_SoftwareUsed,HR_TechAdoptionLevel,RemoteWorkPolicy,RecruitmentMethod_Primary,EmployeeTurnoverRate_Annual,TrainingBudget_PerEmployee_USD,PerformanceReviewFrequency,EmployeeEngagementPlatform,EmployeeBenefitsRating,DedicatedHRTeam,AI_InHR_Used,CandidateExperienceRating,EmployeeWellnessPrograms,DiversityInclusionPrograms,UseOfGigWorkers,HR_TechSatisfaction
CO69,Finance,350,Suburban,35000000,Integrated HRIS,High,Hybrid,Referrals,11,2000,Bi-annually,Yes,4,Yes,Yes,4,Yes,Yes,No,4
CO70,Education,170,Urban,17000000,Standalone HRMS,Medium,Fully On-site,Online Job Boards,19,780,Annually,No,3,Yes,No,3,No,No,No,3
CO71,Consulting,750,Urban,75000000,Integrated HRIS,High,Fully Remote,Recruiters/Agencies,9,2800,Continuous,Yes,5,Yes,Yes,5,Yes,Yes,No,5
CO72,Hospitality,65,Suburban,6500000,Payroll Software,Low,Fully On-site,Online Job Boards,33,210,Annually,No,2,No,No,2,No,No,Yes,2
CO73,IT Services,520,Urban,52000000,Integrated HRIS,High,Hybrid,Referrals,17,1500,Bi-annually,Yes,4,Yes,Yes,4,Yes,Yes,No,4
CO74,Manufacturing,210,Suburban,21000000,Standalone HRMS,Medium,Fully On-site,Online Job Boards,25,650,Annually,No,3,Yes,No,3,No,No,Yes,3
CO75,Healthcare,980,Urban,98000000,Integrated HRIS,High,Hybrid,Recruiters/Agencies,12,1700,Quarterly,Yes,5,Yes,Yes,5,Yes,Yes,No,5
CO76,Retail,55,Urban,5500000,Payroll Software,Low,Fully On-site,Online Job Boards,30,270,Annually,No,2,No,No,2,No,No,Yes,2
CO77,Finance,280,Suburban,28000000,Integrated HRIS,High,Hybrid,Referrals,10,2100,Bi-annually,Yes,4,Yes,Yes,4,Yes,Yes,No,4
CO78,Education,140,Urban,14000000,Standalone HRMS,Medium,Fully On-site,Online Job Boards,17,800,Annually,No,3,Yes,No,3,No,No,No,3
CO79,Consulting,850,Urban,85000000,Integrated HRIS,High,Fully Remote,Recruiters/Agencies,8,2900,Continuous,Yes,5,Yes,Yes,5,Yes,Yes,No,5
CO80,Hospitality,75,Suburban,7500000,Payroll Software,Low,Fully On-site,Online Job Boards,34,220,Annually,No,2,No,No,2,No,No,Yes,2
CO81,IT Services,480,Urban,48000000,Integrated HRIS,High,Hybrid,Referrals,15,1550,Bi-annually,Yes,4,Yes,Yes,4,Yes,Yes,No,4
CO82,Manufacturing,230,Suburban,23000000,Standalone HRMS,Medium,Fully On-site,Online Job Boards,26,680,Annually,No,3,Yes,No,3,No,No,Yes,3
CO83,Healthcare,920,Urban,92000000,Integrated HRIS,High,Hybrid,Recruiters/Agencies,11,1750,Quarterly,Yes,5,Yes,Yes,5,Yes,Yes,No,5
CO84,Retail,52,Urban,5200000,Payroll Software,Low,Fully On-site,Online Job Boards,31,280,Annually,No,2,No,No,2,No,No,Yes,2
CO85,Finance,320,Suburban,32000000,Integrated HRIS,High,Hybrid,Referrals,12,2200,Bi-annually,Yes,4,Yes,Yes,4,Yes,Yes,No,4
CO86,Education,160,Urban,16000000,Standalone HRMS,Medium,Fully On-site,Online Job Boards,18,820,Annually,No,3,Yes,No,3,No,No,No,3
CO87,Consulting,780,Urban,78000000,Integrated HRIS,High,Fully Remote,Recruiters/Agencies,9,3000,Continuous,Yes,5,Yes,Yes,5,Yes,Yes,No,5
CO88,Hospitality,68,Suburban,6800000,Payroll Software,Low,Fully On-site,Online Job Boards,35,230,Annually,No,2,No,No,2,No,No,Yes,2
CO89,IT Services,550,Urban,55000000,Integrated HRIS,High,Hybrid,Referrals,17,1600,Bi-annually,Yes,4,Yes,Yes,4,Yes,Yes,No,4
CO90,Manufacturing,240,Suburban,24000000,Standalone HRMS,Medium,Fully On-site,Online Job Boards,27,700,Annually,No,3,Yes,No,3,No,No,Yes,3
CO91,Healthcare,900,Urban,90000000,Integrated HRIS,High,Hybrid,Recruiters/Agencies,10,1800,Quarterly,Yes,5,Yes,Yes,5,Yes,Yes,No,5
CO92,Retail,48,Urban,4800000,Payroll Software,Low,Fully On-site,Online Job Boards,32,290,Annually,No,2,No,No,2,No,No,Yes,2
CO93,Finance,300,Suburban,30000000,Integrated HRIS,High,Hybrid,Referrals,11,2300,Bi-annually,Yes,4,Yes,Yes,4,Yes,Yes,No,4
CO94,Education,150,Urban,15000000,Standalone HRMS,Medium,Fully On-site,Online Job Boards,18,850,Annually,No,3,Yes,No,3,No,No,No,3
CO95,Consulting,800,Urban,80000000,Integrated HRIS,High,Fully Remote,Recruiters/Agencies,8,3100,Continuous,Yes,5,Yes,Yes,5,Yes,Yes,No,5
CO96,Hospitality,70,Suburban,7000000,Payroll Software,Low,Fully On-site,Online Job Boards,36,240,Annually,No,2,No,No,2,No,No,Yes,2
CO97,IT Services,500,Urban,50000000,Integrated HRIS,High,Hybrid,Referrals,16,1650,Bi-annually,Yes,4,Yes,Yes,4,Yes,Yes,No,4
CO98,Manufacturing,200,Suburban,20000000,Standalone HRMS,Medium,Fully On-site,Online Job Boards,28,720,Annually,No,3,Yes,No,3,No,No,Yes,3
CO99,Healthcare,1000,Urban,100000000,Integrated HRIS,High,Hybrid,Recruiters/Agencies,12,1900,Quarterly,Yes,5,Yes,Yes,5,Yes,Yes,No,5
C100,Retail,50,Urban,5000000,Payroll Software,Low,Fully On-site,Online Job Boards,37,300,Annually,No,2,No,No,2,No,No,Yes,2
