HUF_ID,KartaAge,KartaGender,HUF_LocationType,HUF_AnnualIncome_INR,NumMembers,PrimaryBank,AccountType,InvestmentPortfolioValue_INR,LoanTaken_Last12Months,LoanType_Primary,DigitalBankingUsage,FinancialAdvisorUsed,TaxFilingMethod,HUF_PropertyOwned,BusinessOperations,OnlineInvestmentPlatformsUsed,FinancialGoals_Primary,SatisfactionWithBank,SuccessionPlanningInPlace,DisputesOverAssets_Last5Years
H073,59,Male,Urban,2050000,6,Private Sector Bank,Combination,8200000,Yes,Business Loan,Daily,Yes,Chartered Accountant,3,Yes,Yes,Wealth Growth,5,Yes,No
H074,63,Male,Suburban,1100000,4,Public Sector Bank,Savings,2300000,No,None,Weekly,No,Tax Consultant,1,No,No,Tax Savings,3,No,No
H075,57,Male,Urban,2250000,7,Foreign Bank,Current,10600000,No,None,Daily,Yes,Chartered Accountant,4,Yes,Yes,Wealth Growth,5,Yes,No
H076,60,Male,Suburban,1500000,5,Private Sector Bank,Savings,4600000,Yes,Property Loan,Weekly,No,Tax Consultant,2,No,No,Retirement Planning,4,Yes,No
H077,49,Male,Urban,1900000,6,Public Sector Bank,Combination,7600000,No,None,Monthly,Yes,Chartered Accountant,3,Yes,Yes,Education Funding,4,Yes,No
H078,74,Male,Rural,920000,3,Co-operative Bank,Savings,1200000,No,None,Never,No,Online Self-Filed,1,No,No,Asset Protection,2,No,No
H079,53,Male,Urban,2450000,7,Foreign Bank,Current,10100000,Yes,Business Loan,Daily,Yes,Chartered Accountant,4,Yes,Yes,Wealth Growth,5,Yes,No
H080,66,Male,Suburban,1400000,4,Private Sector Bank,Savings,3800000,No,None,Weekly,No,Tax Consultant,1,No,No,Tax Savings,3,Yes,No
H081,55,Male,Urban,1700000,5,Private Sector Bank,Current,5800000,No,None,Daily,Yes,Chartered Accountant,2,Yes,Yes,Wealth Growth,4,Yes,No
H082,62,Male,Suburban,1220000,4,Public Sector Bank,Savings,3100000,Yes,Property Loan,Weekly,No,Chartered Accountant,1,No,No,Retirement Planning,3,Yes,No
H083,48,Male,Urban,2250000,6,Private Sector Bank,Combination,8800000,No,None,Daily,Yes,Chartered Accountant,3,Yes,Yes,Wealth Growth,5,Yes,No
H084,70,Male,Rural,880000,3,Co-operative Bank,Savings,1120000,No,None,Rarely,No,Online Self-Filed,1,No,No,Asset Protection,2,No,No
H085,50,Female,Urban,2000000,5,Private Sector Bank,Current,7800000,Yes,Business Loan,Daily,Yes,Chartered Accountant,2,Yes,Yes,Wealth Growth,4,Yes,No
H086,58,Male,Suburban,1120000,4,Public Sector Bank,Savings,2700000,No,None,Monthly,No,Tax Consultant,1,No,No,Education Funding,3,No,No
H087,65,Male,Urban,1800000,6,Private Sector Bank,Combination,6800000,No,None,Weekly,Yes,Chartered Accountant,2,Yes,Yes,Tax Savings,4,Yes,No
H088,75,Male,Rural,780000,3,Co-operative Bank,Savings,980000,No,None,Never,No,Online Self-Filed,1,No,No,Asset Protection,2,No,No
H089,45,Male,Urban,2400000,7,Foreign Bank,Current,9800000,Yes,Property Loan,Daily,Yes,Chartered Accountant,4,Yes,Yes,Wealth Growth,5,Yes,No
H090,52,Male,Suburban,1420000,4,Private Sector Bank,Savings,4300000,No,None,Weekly,No,Tax Consultant,1,No,No,Retirement Planning,4,Yes,No
H091,68,Male,Urban,1900000,5,Public Sector Bank,Current,7300000,No,None,Monthly,Yes,Chartered Accountant,2,Yes,Yes,Education Funding,4,Yes,No
H092,72,Male,Rural,1040000,3,Co-operative Bank,Savings,1320000,No,None,Rarely,No,Online Self-Filed,1,No,No,Asset Protection,3,No,No
H093,59,Male,Urban,2100000,6,Private Sector Bank,Combination,8400000,Yes,Business Loan,Daily,Yes,Chartered Accountant,3,Yes,Yes,Wealth Growth,5,Yes,No
H094,63,Male,Suburban,1120000,4,Public Sector Bank,Savings,2400000,No,None,Weekly,No,Tax Consultant,1,No,No,Tax Savings,3,No,No
H095,57,Male,Urban,2300000,7,Foreign Bank,Current,10800000,No,None,Daily,Yes,Chartered Accountant,4,Yes,Yes,Wealth Growth,5,Yes,No
H096,60,Male,Suburban,1520000,5,Private Sector Bank,Savings,4800000,Yes,Property Loan,Weekly,No,Tax Consultant,2,No,No,Retirement Planning,4,Yes,No
H097,49,Male,Urban,1950000,6,Public Sector Bank,Combination,7800000,No,None,Monthly,Yes,Chartered Accountant,3,Yes,Yes,Education Funding,4,Yes,No
H098,74,Male,Rural,940000,3,Co-operative Bank,Savings,1220000,No,None,Never,No,Online Self-Filed,1,No,No,Asset Protection,2,No,No
H099,53,Male,Urban,2500000,7,Foreign Bank,Current,10300000,Yes,Business Loan,Daily,Yes,Chartered Accountant,4,Yes,Yes,Wealth Growth,5,Yes,No
H100,66,Male,Suburban,1450000,4,Private Sector Bank,Savings,4000000,No,None,Weekly,No,Tax Consultant,1,No,No,Tax Savings,3,Yes,No
