UserID,Age,Gender,LocationType,HouseholdIncome_USD,EducationLevel,EmploymentStatus,PrimarySocialMediaPlatform,NumSocialMediaAccounts,DailySocialMediaHours,PurposeOfSocialMedia,FollowsInfluencers,PrimaryEntertainmentType,DailyEntertainmentHours,HasPaidStreamingSubscription,NumStreamingServices,PreferredContentGenre,AvgWeeklyGamingHours,CreatesContent,ParticipatesInOnlineCommunities,ConcernedAboutPrivacy,AwareOfAlgorithmInfluence
S090,58,Male,Rural,65000,Bachelor's,Homemaker,Facebook,2,1.0,Socializing,No,Streaming Video,1.0,Yes,1,Comedy,0,No,Yes,Yes,No
S091,35,Other,Urban,87000,Master's,Employed,YouTube,4,3.0,Entertainment,Yes,Gaming,4.0,Yes,3,Gaming,17,Yes,Yes,Yes,Yes
S092,48,Male,Suburban,101000,Master's,Employed,Facebook,3,1.0,News,No,Streaming Video,2.0,Yes,4,Drama,0,No,Yes,Yes,Yes
S093,29,Female,Urban,57000,Bachelor's,Employed,Instagram,5,3.5,Socializing,Yes,Music Streaming,2.0,Yes,1,Music,7,Yes,No,No,Yes
S094,65,Male,Suburban,72000,High School,Retired,Facebook,1,0.5,Socializing,No,Reading E-books,0.5,No,0,Documentary,0,No,No,Yes,No
S095,40,Female,Urban,110000,Master's,Employed,X (Twitter),4,2.0,News,Yes,Streaming Video,3.5,Yes,3,Sci-Fi/Fantasy,0,No,Yes,Yes,Yes
S096,30,Male,Suburban,77000,Bachelor's,Employed,Pinterest,3,1.5,Shopping/Brands,Yes,Streaming Video,2.0,Yes,2,Reality TV,0,No,No,Yes,Yes
S097,24,Other,Urban,49000,Bachelor's,Student,TikTok,5,4.0,Entertainment,Yes,Music Streaming,2.5,Yes,1,Music,8,Yes,No,No,Yes
S098,81,Female,Rural,64000,PhD,Retired,None,1,0.5,Socializing,No,Online News,0.5,No,0,News/Current Affairs,0,No,No,Yes,No
S099,45,Male,Urban,114000,Master's,Employed,LinkedIn,3,1.0,Professional Networking,No,Streaming Video,2.5,Yes,4,Drama,0,No,Yes,Yes,Yes
S100,33,Female,Suburban,83000,Bachelor's,Employed,Instagram,4,2.5,Entertainment,Yes,Gaming,3.5,Yes,2,Gaming,16,No,Yes,Yes,Yes
